Year, Month, Day,     Extent,    Missing, Source Data
YYYY,    MM,  DD, 10^6 sq km, 10^6 sq km, Source data product web site: http://nsidc.org/data/nsidc-0081.html
2016,    04,  14,     13.923,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20160414_f18_nrt_n.bin
2016,    04,  15,     13.867,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20160415_f18_nrt_n.bin
2016,    04,  16,     13.822,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20160416_f18_nrt_n.bin
2016,    04,  17,     13.815,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20160417_f18_nrt_n.bin
2016,    04,  18,     13.632,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20160418_f18_nrt_n.bin
2016,    04,  19,     13.542,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20160419_f18_nrt_n.bin
2016,    04,  20,     13.624,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20160420_f18_nrt_n.bin
2016,    04,  21,     13.548,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20160421_f18_nrt_n.bin
2016,    04,  22,     13.542,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20160422_f18_nrt_n.bin
2016,    04,  23,     13.492,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20160423_f18_nrt_n.bin
2016,    04,  24,     13.408,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20160424_f18_nrt_n.bin
2016,    04,  25,     13.342,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20160425_f18_nrt_n.bin
2016,    04,  26,     13.257,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20160426_f18_nrt_n.bin
2016,    04,  27,     13.183,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20160427_f18_nrt_n.bin
2016,    04,  28,     13.164,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20160428_f18_nrt_n.bin
2016,    04,  29,     13.119,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20160429_f18_nrt_n.bin
2016,    04,  30,     12.987,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20160430_f18_nrt_n.bin
2016,    05,  01,     12.745,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20160501_f18_nrt_n.bin
2016,    05,  02,     12.676,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20160502_f18_nrt_n.bin
2016,    05,  03,     12.678,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20160503_f18_nrt_n.bin
2016,    05,  04,     12.633,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20160504_f18_nrt_n.bin
2016,    05,  05,     12.629,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20160505_f18_nrt_n.bin
2016,    05,  06,     12.506,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20160506_f18_nrt_n.bin
2016,    05,  07,     12.455,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20160507_f18_nrt_n.bin
2016,    05,  08,     12.393,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20160508_f18_nrt_n.bin
2016,    05,  09,     12.377,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20160509_f18_nrt_n.bin
2016,    05,  10,     12.273,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20160510_f18_nrt_n.bin
2016,    05,  11,     12.143,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20160511_f18_nrt_n.bin
2016,    05,  12,     12.041,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20160512_f18_nrt_n.bin
2016,    05,  13,     12.013,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20160513_f18_nrt_n.bin
2016,    05,  14,     11.945,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20160514_f18_nrt_n.bin
2016,    05,  15,     11.919,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20160515_f18_nrt_n.bin
2016,    05,  16,     11.910,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20160516_f18_nrt_n.bin
2016,    05,  17,     11.779,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20160517_f18_nrt_n.bin
2016,    05,  18,     11.718,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20160518_f18_nrt_n.bin
2016,    05,  19,     11.609,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20160519_f18_nrt_n.bin
2016,    05,  20,     11.596,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20160520_f18_nrt_n.bin
2016,    05,  21,     11.625,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20160521_f18_nrt_n.bin
2016,    05,  22,     11.591,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20160522_f18_nrt_n.bin
2016,    05,  23,     11.488,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20160523_f18_nrt_n.bin
2016,    05,  24,     11.401,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20160524_f18_nrt_n.bin
2016,    05,  25,     11.379,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20160525_f18_nrt_n.bin
2016,    05,  26,     11.361,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20160526_f18_nrt_n.bin
2016,    05,  27,     11.285,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20160527_f18_nrt_n.bin
2016,    05,  28,     11.266,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20160528_f18_nrt_n.bin
2016,    05,  29,     11.209,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20160529_f18_nrt_n.bin
2016,    05,  30,     11.157,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20160530_f18_nrt_n.bin
2016,    05,  31,     11.096,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20160531_f18_nrt_n.bin
2016,    06,  01,     10.998,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20160601_f18_nrt_n.bin
2016,    06,  02,     10.982,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20160602_f18_nrt_n.bin
2016,    06,  03,     11.000,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20160603_f18_nrt_n.bin
2016,    06,  04,     10.980,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20160604_f18_nrt_n.bin
2016,    06,  05,     10.965,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20160605_f18_nrt_n.bin
2016,    06,  06,     10.919,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20160606_f18_nrt_n.bin
2016,    06,  07,     10.865,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20160607_f18_nrt_n.bin
2016,    06,  08,     10.870,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20160608_f18_nrt_n.bin
2016,    06,  09,     10.843,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20160609_f18_nrt_n.bin
